Epoque: 0.00 [1/140 (0%)]	Loss: 1.3251	Error: 77.491
Epoque: 0.01 [2/140 (1%)]	Loss: 1.3046	Error: 41.184
Epoque: 0.01 [3/140 (1%)]	Loss: 1.1234	Error: 16.432
Epoque: 0.02 [4/140 (2%)]	Loss: 1.1413	Error: 13.219
Epoque: 0.03 [5/140 (3%)]	Loss: 1.0333	Error: 12.685
Epoque: 0.04 [6/140 (4%)]	Loss: 1.0132	Error: 10.357
Epoque: 0.04 [7/140 (4%)]	Loss: 1.0018	Error: 10.389
Epoque: 0.05 [8/140 (5%)]	Loss: 0.9597	Error: 10.289
Epoque: 0.06 [9/140 (6%)]	Loss: 0.8928	Error: 8.835
Epoque: 0.06 [10/140 (6%)]	Loss: 0.8577	Error: 8.559
Epoque: 0.07 [11/140 (7%)]	Loss: 0.8927	Error: 9.072
Epoque: 0.08 [12/140 (8%)]	Loss: 0.8636	Error: 8.196
Epoque: 0.09 [13/140 (9%)]	Loss: 0.8197	Error: 6.445
Epoque: 0.09 [14/140 (9%)]	Loss: 0.8584	Error: 7.708
Epoque: 0.10 [15/140 (10%)]	Loss: 0.8307	Error: 7.393
Epoque: 0.11 [16/140 (11%)]	Loss: 0.8207	Error: 6.894
Epoque: 0.11 [17/140 (11%)]	Loss: 0.8328	Error: 5.731
Epoque: 0.12 [18/140 (12%)]	Loss: 0.8120	Error: 6.330
Epoque: 0.13 [19/140 (13%)]	Loss: 0.7796	Error: 5.615
Epoque: 0.14 [20/140 (14%)]	Loss: 0.7774	Error: 6.842
Epoque: 0.14 [21/140 (14%)]	Loss: 0.8262	Error: 7.268
Epoque: 0.15 [22/140 (15%)]	Loss: 0.7942	Error: 6.093
Epoque: 0.16 [23/140 (16%)]	Loss: 0.7792	Error: 5.760
Epoque: 0.16 [24/140 (16%)]	Loss: 0.7529	Error: 5.269
Epoque: 0.17 [25/140 (17%)]	Loss: 0.8273	Error: 5.997
Epoque: 0.18 [26/140 (18%)]	Loss: 0.7396	Error: 5.125
Epoque: 0.19 [27/140 (19%)]	Loss: 0.7589	Error: 5.170
Epoque: 0.19 [28/140 (19%)]	Loss: 0.7782	Error: 6.814
Epoque: 0.20 [29/140 (20%)]	Loss: 0.7955	Error: 6.269
Epoque: 0.21 [30/140 (21%)]	Loss: 0.7446	Error: 5.081
Epoque: 0.21 [31/140 (21%)]	Loss: 0.7530	Error: 5.746
Epoque: 0.22 [32/140 (22%)]	Loss: 0.7513	Error: 5.350
Epoque: 0.23 [33/140 (23%)]	Loss: 0.7644	Error: 5.597
Epoque: 0.24 [34/140 (24%)]	Loss: 0.7228	Error: 5.264
Epoque: 0.24 [35/140 (24%)]	Loss: 0.7323	Error: 5.059
Epoque: 0.25 [36/140 (25%)]	Loss: 0.7096	Error: 4.899
Epoque: 0.26 [37/140 (26%)]	Loss: 0.7352	Error: 6.059
Epoque: 0.26 [38/140 (26%)]	Loss: 0.7286	Error: 5.340
Epoque: 0.27 [39/140 (27%)]	Loss: 0.7131	Error: 5.629
Epoque: 0.28 [40/140 (28%)]	Loss: 0.7385	Error: 5.087
Epoque: 0.29 [41/140 (29%)]	Loss: 0.7439	Error: 6.600
Epoque: 0.29 [42/140 (29%)]	Loss: 0.7335	Error: 5.850
Epoque: 0.30 [43/140 (30%)]	Loss: 0.6992	Error: 5.292
Epoque: 0.31 [44/140 (31%)]	Loss: 0.7001	Error: 5.525
Epoque: 0.31 [45/140 (31%)]	Loss: 0.6831	Error: 4.818
Epoque: 0.32 [46/140 (32%)]	Loss: 0.7125	Error: 4.839
Epoque: 0.33 [47/140 (33%)]	Loss: 0.7206	Error: 5.382
Epoque: 0.34 [48/140 (34%)]	Loss: 0.7131	Error: 5.438
Epoque: 0.34 [49/140 (34%)]	Loss: 0.6939	Error: 5.541
Epoque: 0.35 [50/140 (35%)]	Loss: 0.7251	Error: 6.147
Epoque: 0.36 [51/140 (36%)]	Loss: 0.7019	Error: 5.986
Epoque: 0.36 [52/140 (36%)]	Loss: 0.6898	Error: 5.558
Epoque: 0.37 [53/140 (37%)]	Loss: 0.6881	Error: 6.192
Epoque: 0.38 [54/140 (38%)]	Loss: 0.6905	Error: 5.665
Epoque: 0.39 [55/140 (39%)]	Loss: 0.6802	Error: 5.319
Epoque: 0.39 [56/140 (39%)]	Loss: 0.6661	Error: 5.012
Epoque: 0.40 [57/140 (40%)]	Loss: 0.6820	Error: 5.246
Epoque: 0.41 [58/140 (41%)]	Loss: 0.6716	Error: 4.716
